row_type,date,ticker,direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,hold_duration_ms,exit_reason,entry_composite,exit_composite,entry_1m,entry_5m,entry_1h,exit_1m,exit_5m,exit_1h,max_composite,max_composite_time,positive_ticks,total_ticks
summary,2024-01-01,SPY,,,,,,,0.00,,0,,,,,,,,,,0.2999,2023-12-29T14:38:00+00:00,143,524
summary,2024-01-01,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.3505,2023-12-29T18:49:00+00:00,119,518
summary,2024-01-01,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.2855,2023-12-29T20:28:00+00:00,33,543
summary,2024-01-01,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.7408,2023-12-29T18:49:00+00:00,147,555
summary,2024-01-01,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.4099,2023-12-29T14:51:00+00:00,189,464
summary,2024-01-02,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4014,2024-01-02T16:49:00+00:00,157,655
summary,2024-01-02,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.3739,2024-01-02T21:00:00+00:00,74,658
summary,2024-01-02,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.6821,2024-01-02T10:21:00+00:00,121,636
summary,2024-01-02,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.6766,2024-01-02T16:46:00+00:00,270,618
summary,2024-01-02,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.7394,2024-01-02T13:02:00+00:00,168,527
summary,2024-01-03,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4014,2024-01-02T16:49:00+00:00,377,1444
summary,2024-01-03,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.3913,2024-01-02T21:03:00+00:00,180,1490
summary,2024-01-03,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.6821,2024-01-02T10:21:00+00:00,217,1436
summary,2024-01-03,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.6766,2024-01-02T16:46:00+00:00,402,1377
trade,2024-01-03,MSFT,Long,2024-01-03T15:06:00+00:00,2024-01-03T15:56:00+00:00,372.6117,371.7684,0.81,-0.68,-0.002263,3000000,SessionClose,0.3064,0.2214,-0.0290,0.2626,0.5058,0.4152,0.0630,0.4737,,,
summary,2024-01-03,MSFT,,,,,,,-0.68,,1,,,,,,,,,,0.7394,2024-01-02T13:02:00+00:00,505,1134
summary,2024-01-04,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4014,2024-01-02T16:49:00+00:00,401,2253
summary,2024-01-04,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.3913,2024-01-02T21:03:00+00:00,180,2288
summary,2024-01-04,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.6821,2024-01-02T10:21:00+00:00,217,2203
summary,2024-01-04,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.6766,2024-01-02T16:46:00+00:00,684,2068
