row_type,date,ticker,direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,hold_duration_ms,exit_reason,entry_composite,exit_composite,entry_1m,entry_5m,entry_1h,exit_1m,exit_5m,exit_1h,max_composite,max_composite_time,positive_ticks,total_ticks
summary,2025-01-01,SPY,,,,,,,0.00,,0,,,,,,,,,,0.6396,2024-12-30T16:43:00+00:00,631,1487
summary,2025-01-01,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.6295,2024-12-30T16:42:00+00:00,593,1636
summary,2025-01-01,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.5794,2024-12-30T17:28:00+00:00,421,1297
summary,2025-01-01,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.8042,2024-12-30T14:51:00+00:00,782,1896
summary,2025-01-01,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.6009,2024-12-30T17:45:00+00:00,426,1112
summary,2025-01-02,SPY,,,,,,,0.00,,0,,,,,,,,,,0.6121,2024-12-30T16:43:00+00:00,862,1910
summary,2025-01-02,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.6209,2024-12-30T16:42:00+00:00,728,2023
summary,2025-01-02,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.5725,2024-12-30T17:28:00+00:00,406,1742
trade,2025-01-02,NVDA,Long,2025-01-02T15:01:00+00:00,2025-01-02T15:56:00+00:00,137.3662,137.5437,2.18,0.39,0.001292,3300000,SessionClose,0.5179,0.1927,0.5093,0.5845,0.3876,0.4125,0.0476,0.4097,,,
trade,2025-01-02,NVDA,Long,2025-01-02T15:58:00+00:00,2025-01-02T15:59:00+00:00,137.5462,137.3638,2.18,-0.40,-0.001327,60000,SessionClose,0.1650,0.1413,0.1353,0.0476,0.4097,-0.0612,0.0476,0.3963,,,
summary,2025-01-02,NVDA,,,,,,,-0.01,,2,,,,,,,,,,1.0000,2024-12-30T14:38:00+00:00,1122,2290
summary,2025-01-02,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.6498,2024-12-30T15:44:00+00:00,523,1543
summary,2025-01-03,SPY,,,,,,,0.00,,0,,,,,,,,,,0.5016,2025-01-02T09:15:00+00:00,914,1934
