=== year backtest: 2025 ===
capital: $10000  lookback: 3  costs: --slippage-bps 2.0 --half-spread 0.005
overrides: --slippage-bps 3.0 --ticker-override AAPL:entry_threshold=0.35
total trading days: 261

row_type,date,ticker,direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,hold_duration_ms,exit_reason,entry_composite,exit_composite,entry_1m,entry_5m,entry_1h,exit_1m,exit_5m,exit_1h,max_composite,max_composite_time,positive_ticks,total_ticks
summary,2025-01-01,SPY,,,,,,,0.00,,0,,,,,,,,,,0.6396,2024-12-30T16:43:00+00:00,631,1487
summary,2025-01-01,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.6295,2024-12-30T16:42:00+00:00,593,1636
summary,2025-01-01,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.5794,2024-12-30T17:28:00+00:00,421,1297
summary,2025-01-01,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.8042,2024-12-30T14:51:00+00:00,782,1896
summary,2025-01-01,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.6009,2024-12-30T17:45:00+00:00,426,1112
  [1/261] 2025-01-01  +$0.00  (0 trades)  cum: +$0.00
summary,2025-01-02,SPY,,,,,,,0.00,,0,,,,,,,,,,0.6121,2024-12-30T16:43:00+00:00,862,1910
summary,2025-01-02,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.6209,2024-12-30T16:42:00+00:00,728,2023
summary,2025-01-02,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.5725,2024-12-30T17:28:00+00:00,406,1742
trade,2025-01-02,NVDA,Long,2025-01-02T14:54:00+00:00,2025-01-02T15:56:00+00:00,137.0061,137.5437,2.19,1.18,0.003924,3720000,SessionClose,0.4041,0.1927,0.6224,0.4177,0.3042,0.4125,0.0476,0.4097,,,
summary,2025-01-02,NVDA,,,,,,,1.18,,1,,,,,,,,,,1.0000,2024-12-30T14:38:00+00:00,1122,2290
summary,2025-01-02,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.6498,2024-12-30T15:44:00+00:00,523,1543
  [2/261] 2025-01-02  +$1.18  (1 trades)  cum: +$1.18
summary,2025-01-03,SPY,,,,,,,0.00,,0,,,,,,,,,,0.5016,2025-01-02T09:15:00+00:00,914,1934
